;ACP;IQR;count;mean;median;pol;q1;q3;std
40;PROCESSING_ACPS_JUNDIAI;0.0;5492.0;0.02166788055353241;0.0;POLICIES_buy;0.0;0.0;0.14559664661608887
41;PROCESSING_ACPS_JUNDIAI;1.0;5413.0;0.28468501755034176;0.0;POLICIES_rent;0.0;1.0;0.45126428878507924
42;PROCESSING_ACPS_JUNDIAI;1.0;5495.0;0.3006369426751592;0.0;POLICIES_wage;0.0;1.0;0.45853502742330626
43;PROCESSING_ACPS_JUNDIAI;0.0;5405.0;0.1456059204440333;0.0;POLICIES_no_policy;0.0;0.0;0.3527106978469453
44;PROCESSING_ACPS_FEIRA DE SANTANA;0.0;5534.0;0.029815684857246116;0.0;POLICIES_buy;0.0;0.0;0.1700785400741066
45;PROCESSING_ACPS_FEIRA DE SANTANA;1.0;5350.0;0.2816822429906542;0.0;POLICIES_rent;0.0;1.0;0.4498192492261845
46;PROCESSING_ACPS_FEIRA DE SANTANA;1.0;5423.0;0.26959247648902823;0.0;POLICIES_wage;0.0;1.0;0.44374809645737184
47;PROCESSING_ACPS_FEIRA DE SANTANA;0.0;5342.0;0.17877199550730064;0.0;POLICIES_no_policy;0.0;0.0;0.3831612834429365
48;PROCESSING_ACPS_IPATINGA;0.0;5441.0;0.026098143723580224;0.0;POLICIES_buy;0.0;0.0;0.15942719535187078
49;PROCESSING_ACPS_IPATINGA;1.0;5445.0;0.28484848484848485;0.0;POLICIES_rent;0.0;1.0;0.45134224877359674
50;PROCESSING_ACPS_IPATINGA;1.0;5500.0;0.28563636363636363;0.0;POLICIES_wage;0.0;1.0;0.4517169815326391
51;PROCESSING_ACPS_IPATINGA;0.0;5361.0;0.17216937138593547;0.0;POLICIES_no_policy;0.0;0.0;0.37752758699531785
52;PROCESSING_ACPS_LONDRINA;0.0;5470.0;0.03144424131627057;0.0;POLICIES_buy;0.0;0.0;0.17451504520904412
53;PROCESSING_ACPS_LONDRINA;1.0;5468.0;0.28730797366495975;0.0;POLICIES_rent;0.0;1.0;0.45250646617865536
54;PROCESSING_ACPS_LONDRINA;1.0;5479.0;0.28253330899799234;0.0;POLICIES_wage;0.0;1.0;0.4502313164414902
55;PROCESSING_ACPS_LONDRINA;0.0;5389.0;0.16774911857487473;0.0;POLICIES_no_policy;0.0;0.0;0.3736433483848299
56;PROCESSING_ACPS_SOROCABA;0.0;5469.0;0.031084293289449626;0.0;POLICIES_buy;0.0;0.0;0.17354555597924456
57;PROCESSING_ACPS_SOROCABA;1.0;5432.0;0.2870029455081001;0.0;POLICIES_rent;0.0;1.0;0.45236296795579384
58;PROCESSING_ACPS_SOROCABA;1.0;5228.0;0.2815608263198164;0.0;POLICIES_wage;0.0;1.0;0.44976029993977745
59;PROCESSING_ACPS_SOROCABA;0.0;5580.0;0.17562724014336917;0.0;POLICIES_no_policy;0.0;0.0;0.38050271045419964
60;PROCESSING_ACPS_JOAO PESSOA;0.0;5421.0;0.036893562073418186;0.0;POLICIES_buy;0.0;0.0;0.18850046989584143
61;PROCESSING_ACPS_JOAO PESSOA;1.0;5431.0;0.2857668937580556;0.0;POLICIES_rent;0.0;1.0;0.4517789018866727
