;size;optimal;non-optimal;optimal_count;non-optimal_count
POLICIES_buy;0.1218851570964247;0.025925925925925925;0.9740740740740741;35;1315
POLICIES_rent;0.1218851570964247;0.1037037037037037;0.8962962962962963;140;1210
POLICIES_wage;0.1218851570964247;0.13925925925925925;0.8607407407407407;188;1162
POLICIES_no_policy;0.6343445287107259;0.03914033589524623;0.9608596641047538;275;6751
INTEREST_fixed;0.001895991332611051;0.0;1.0;0;21
INTEREST_real;0.9962080173347779;0.05782127968098604;0.942178720319014;638;10396
INTEREST_nominal;0.001895991332611051;0.0;1.0;0;21
PROCESSING_ACPS_BELO HORIZONTE;0.020043336944745395;0.8108108108108109;0.1891891891891892;180;42
PROCESSING_ACPS_FORTALEZA;0.020043336944745395;0.03153153153153153;0.9684684684684685;7;215
PROCESSING_ACPS_PORTO ALEGRE;0.020043336944745395;0.0;1.0;0;222
PROCESSING_ACPS_CAMPINAS;0.020043336944745395;0.32882882882882886;0.6711711711711712;73;149
PROCESSING_ACPS_SALVADOR;0.01056338028169014;0.1111111111111111;0.8888888888888888;13;104
PROCESSING_ACPS_RECIFE;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_SAO PAULO;0.01056338028169014;1.0;0.0;117;0
PROCESSING_ACPS_JOINVILLE;0.002979414951245937;0.0;1.0;0;33
PROCESSING_ACPS_CAMPO GRANDE;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_JUNDIAI;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_FEIRA DE SANTANA;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_IPATINGA;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_LONDRINA;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_SOROCABA;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_JOAO PESSOA;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_MACEIO;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_ILHEUS - ITABUNA;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_SAO LUIS;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_UBERLANDIA;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_MARINGA;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_VITORIA;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_CUIABA;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_BELEM;0.01056338028169014;0.21367521367521367;0.7863247863247863;25;92
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_TERESINA;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_MANAUS;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_BRASILIA;0.48672806067172264;0.010573177518085699;0.9894268224819143;57;5334
PROCESSING_ACPS_ARACAJU;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_CAMPINA GRANDE;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_CAXIAS DO SUL;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_CRAJUBAR;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_CURITIBA;0.01056338028169014;0.47863247863247865;0.5213675213675214;56;61
PROCESSING_ACPS_FLORIANOPOLIS;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_GOIANIA;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_JUIZ DE FORA;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_MACAPA;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_NATAL;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_RIBEIRAO PRETO;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_RIO DE JANEIRO;0.018147345612134345;0.5472636815920398;0.4527363184079602;110;91
PROCESSING_ACPS_SANTOS;0.01056338028169014;0.0;1.0;0;117
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.01056338028169014;0.0;1.0;0;117
T_LICENSES_PER_REGION_False;0.001895991332611051;0.0;1.0;0;21
T_LICENSES_PER_REGION_True;0.001895991332611051;0.0;1.0;0;21
T_LICENSES_PER_REGION_random;0.9962080173347779;0.05782127968098604;0.942178720319014;638;10396
STARTING_DAY_2000-01-01;0.007583965330444204;0.0;1.0;0;84
STARTING_DAY_2010-01-01;0.9924160346695557;0.05804221251819505;0.9419577874818049;638;10354
FPM_DISTRIBUTION_False;0.003791982665222102;0.0;1.0;0;42
FPM_DISTRIBUTION_True;0.9962080173347779;0.05782127968098604;0.942178720319014;638;10396
ALTERNATIVE0_False;0.003791982665222102;0.0;1.0;0;42
ALTERNATIVE0_True;0.9962080173347779;0.05782127968098604;0.942178720319014;638;10396
