;tot_current;current_0;current_1;tot_Tree;Tree_0;Tree_1;tot_MPL;MPL_0;MPL_1;tot_SVC;SVC_0;SVC_1;tot_Voting;Voting_0;Voting_1
POLICIES_no_policy;0.819128;0.811034;0.847915;0.247400;0.223411;0.259572;0.247400;0.246856;0.285714;0.247400;0.252064;0.243018;0.247400;0.268225;0.180980
POLICIES_rent;0.060291;0.063678;0.048242;0.252600;0.100713;0.329665;0.252600;0.252840;0.235714;0.252600;0.259496;0.246121;0.252600;0.235650;0.306661
POLICIES_wage;0.060291;0.060920;0.058054;0.252400;0.000000;0.380464;0.252400;0.251826;0.292857;0.252400;0.244839;0.259503;0.252400;0.184421;0.469208
PROCESSING_ACPS_BELEM;0.000359;0.000460;0.000000;0.034000;0.041295;0.030298;0.034000;0.034280;0.014286;0.034000;0.036334;0.031808;0.034000;0.035334;0.029744
PROCESSING_ACPS_BELO HORIZONTE;0.019200;0.019770;0.017171;0.034300;0.000891;0.051251;0.034300;0.034381;0.028571;0.034300;0.035714;0.032971;0.034300;0.027716;0.055300
PROCESSING_ACPS_BRASILIA;0.908487;0.909195;0.905969;0.033900;0.049911;0.025776;0.033900;0.033367;0.071429;0.033900;0.033237;0.034523;0.033900;0.036648;0.025136
PROCESSING_ACPS_CAMPINAS;0.019200;0.018621;0.021259;0.037500;0.000297;0.056376;0.037500;0.037627;0.028571;0.037500;0.040050;0.035105;0.037500;0.032182;0.054462
PROCESSING_ACPS_CAMPO GRANDE;0.000359;0.000460;0.000000;0.034300;0.032383;0.035273;0.034300;0.034280;0.035714;0.034300;0.034889;0.033747;0.034300;0.033364;0.037285
PROCESSING_ACPS_CUIABA;0.000359;0.000460;0.000000;0.036000;0.043672;0.032107;0.036000;0.035801;0.050000;0.036000;0.033650;0.038208;0.036000;0.038487;0.028069
PROCESSING_ACPS_FEIRA DE SANTANA;0.000359;0.000460;0.000000;0.034300;0.035651;0.033615;0.034300;0.034483;0.021429;0.034300;0.033031;0.035493;0.034300;0.034415;0.033934
PROCESSING_ACPS_FORTALEZA;0.019200;0.020000;0.016353;0.033600;0.024064;0.038438;0.033600;0.033671;0.028571;0.033600;0.032411;0.034717;0.033600;0.031525;0.040218
PROCESSING_ACPS_ILHEUS - ITABUNA;0.000359;0.000460;0.000000;0.038100;0.044563;0.034821;0.038100;0.038438;0.014286;0.038100;0.038604;0.037626;0.038100;0.039669;0.033096
PROCESSING_ACPS_IPATINGA;0.000359;0.000230;0.000818;0.034300;0.035651;0.033615;0.034300;0.034584;0.014286;0.034300;0.034063;0.034523;0.034300;0.034021;0.035191
PROCESSING_ACPS_JOAO PESSOA;0.000359;0.000460;0.000000;0.035400;0.036542;0.034821;0.035400;0.035598;0.021429;0.035400;0.035921;0.034911;0.035400;0.036648;0.031420
PROCESSING_ACPS_JOINVILLE;0.000359;0.000460;0.000000;0.035800;0.036542;0.035424;0.035800;0.035700;0.042857;0.035800;0.035301;0.036268;0.035800;0.035203;0.037704
PROCESSING_ACPS_JUNDIAI;0.000359;0.000460;0.000000;0.034800;0.038027;0.033162;0.034800;0.034686;0.042857;0.034800;0.034269;0.035299;0.034800;0.035072;0.033934
PROCESSING_ACPS_LONDRINA;0.000359;0.000230;0.000818;0.034300;0.036839;0.033012;0.034300;0.034584;0.014286;0.034300;0.035921;0.032777;0.034300;0.035072;0.031839
PROCESSING_ACPS_MACEIO;0.000359;0.000460;0.000000;0.033800;0.040998;0.030148;0.033800;0.033164;0.078571;0.033800;0.034476;0.033165;0.033800;0.035072;0.029744
PROCESSING_ACPS_MANAUS;0.000359;0.000460;0.000000;0.035100;0.042187;0.031504;0.035100;0.035091;0.035714;0.035100;0.034269;0.035881;0.035100;0.035991;0.032258
PROCESSING_ACPS_MARINGA;0.000359;0.000000;0.001635;0.036700;0.043672;0.033162;0.036700;0.036613;0.042857;0.036700;0.035095;0.038208;0.036700;0.038487;0.031001
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.000359;0.000000;0.001635;0.036600;0.044860;0.032409;0.036600;0.036105;0.071429;0.036600;0.038192;0.035105;0.036600;0.037042;0.035191
PROCESSING_ACPS_PORTO ALEGRE;0.019200;0.017931;0.023712;0.036400;0.024955;0.042207;0.036400;0.036511;0.028571;0.036400;0.035714;0.037044;0.036400;0.032050;0.050272
PROCESSING_ACPS_RECIFE;0.000359;0.000230;0.000818;0.036400;0.031491;0.038891;0.036400;0.036714;0.014286;0.036400;0.036127;0.036656;0.036400;0.035334;0.039799
PROCESSING_ACPS_SALVADOR;0.000359;0.000460;0.000000;0.031700;0.026441;0.034368;0.031700;0.031744;0.028571;0.031700;0.028282;0.034911;0.031700;0.030474;0.035610
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.000359;0.000230;0.000818;0.032000;0.037730;0.029093;0.032000;0.031846;0.042857;0.032000;0.031998;0.032002;0.032000;0.033364;0.027650
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.000359;0.000460;0.000000;0.033700;0.034759;0.033162;0.033700;0.033367;0.057143;0.033700;0.030347;0.036850;0.033700;0.034546;0.031001
PROCESSING_ACPS_SAO LUIS;0.000359;0.000460;0.000000;0.034600;0.037433;0.033162;0.034600;0.034990;0.007143;0.034600;0.035095;0.034135;0.034600;0.035334;0.032258
PROCESSING_ACPS_SAO PAULO;0.000359;0.000230;0.000818;0.032500;0.027332;0.035122;0.032500;0.032150;0.057143;0.032500;0.031173;0.033747;0.032500;0.031525;0.035610
PROCESSING_ACPS_SOROCABA;0.000359;0.000460;0.000000;0.032500;0.040404;0.028490;0.032500;0.032556;0.028571;0.032500;0.034889;0.030256;0.032500;0.034415;0.026393
PROCESSING_ACPS_TERESINA;0.000359;0.000460;0.000000;0.031000;0.033868;0.029545;0.031000;0.030933;0.035714;0.031000;0.031379;0.030644;0.031000;0.032576;0.025974
PROCESSING_ACPS_UBERLANDIA;0.000359;0.000000;0.001635;0.031900;0.040107;0.027736;0.031900;0.032049;0.021429;0.031900;0.034682;0.029286;0.031900;0.033627;0.026393
PROCESSING_ACPS_VITORIA;0.000359;0.000230;0.000818;0.034500;0.037433;0.033012;0.034500;0.034686;0.021429;0.034500;0.034889;0.034135;0.034500;0.034809;0.033515
STARTING_DAY_2000-01-01;0.015073;0.014483;0.017171;0.507800;0.558229;0.482213;0.507800;0.507708;0.514286;0.507800;0.515483;0.500582;0.507800;0.544726;0.390029
STARTING_DAY_2010-01-01;0.984927;0.985517;0.982829;0.492200;0.441771;0.517787;0.492200;0.492292;0.485714;0.492200;0.484517;0.499418;0.492200;0.455274;0.609971
T_LICENSES_PER_REGION_False;0.003768;0.003908;0.003271;0.329600;0.321450;0.333735;0.329600;0.329615;0.328571;0.329600;0.328035;0.331071;0.329600;0.327992;0.334730
T_LICENSES_PER_REGION_True;0.003768;0.003678;0.004088;0.335800;0.336304;0.335544;0.335800;0.335396;0.364286;0.335800;0.330925;0.340380;0.335800;0.338369;0.327608
T_LICENSES_PER_REGION_random;0.992464;0.992414;0.992641;0.334600;0.342246;0.330721;0.334600;0.334990;0.307143;0.334600;0.341040;0.328549;0.334600;0.333640;0.337662
WAGE_IGNORE_UNEMPLOYMENT_False;0.996232;0.995862;0.997547;0.504400;0.503565;0.504824;0.504400;0.504158;0.521429;0.504400;0.502684;0.506012;0.504400;0.500722;0.516129
WAGE_IGNORE_UNEMPLOYMENT_True;0.003768;0.004138;0.002453;0.495600;0.496435;0.495176;0.495600;0.495842;0.478571;0.495600;0.497316;0.493988;0.495600;0.499278;0.483871
