;tot_current;current_0;current_1;tot_Tree;Tree_0;Tree_1;tot_MPL;MPL_0;MPL_1;tot_Voting;Voting_0;Voting_1
PRODUCTIVITY_MAGNITUDE_DIVISOR;12.171452;12.169406;12.181419;11.397060;11.911882;10.790190;11.397060;11.396860;11.437340;11.397060;11.465262;11.134326
PUBLIC_TRANSIT_COST;0.055275;0.055118;0.056041;0.118557;0.120060;0.116784;0.118557;0.118548;0.120246;0.118557;0.118814;0.117567
SIZE_MARKET;10.009420;10.005893;10.026607;10.020060;10.032677;10.005187;10.020060;10.020100;10.012024;10.020060;10.023066;10.008480
STICKY_PRICES;0.500000;0.500173;0.499157;0.499959;0.499876;0.500057;0.499959;0.499948;0.502202;0.499959;0.499903;0.500174
TAX_ESTATE_TRANSACTION;0.004974;0.004972;0.004983;0.004975;0.004965;0.004986;0.004975;0.004975;0.004972;0.004975;0.004973;0.004982
TAX_PROPERTY;0.004974;0.004972;0.004981;0.004973;0.004976;0.004970;0.004973;0.004974;0.004956;0.004973;0.004974;0.004972
TOTAL_DAYS;3817.181410;3820.271843;3802.123288;5116.357021;5228.726465;4983.896325;5116.357021;5086.095277;11192.177575;5116.357021;4945.701549;5773.776446
ALTERNATIVE0_False;0.007536;0.008002;0.005269;0.499041;0.501071;0.496648;0.499041;0.499093;0.488701;0.499041;0.499530;0.497159
ALTERNATIVE0_True;0.992464;0.991998;0.994731;0.500959;0.498929;0.503352;0.500959;0.500907;0.511299;0.500959;0.500470;0.502841
FPM_DISTRIBUTION_False;0.007536;0.007785;0.006322;0.500312;0.500814;0.499720;0.500312;0.500273;0.508071;0.500312;0.500434;0.499842
FPM_DISTRIBUTION_True;0.992464;0.992215;0.993678;0.499688;0.499186;0.500280;0.499688;0.499727;0.491929;0.499688;0.499566;0.500158
INTEREST_fixed;0.003768;0.003028;0.007376;0.333270;0.333831;0.332609;0.333270;0.333254;0.336562;0.333270;0.333532;0.332263
INTEREST_nominal;0.003768;0.004325;0.001054;0.332986;0.332785;0.333223;0.332986;0.332973;0.335553;0.332986;0.332947;0.333136
INTEREST_real;0.992464;0.992647;0.991570;0.333744;0.333384;0.334169;0.333744;0.333773;0.327885;0.333744;0.333521;0.334601
POLICIES_buy;0.060291;0.063365;0.045311;0.250018;0.440278;0.025740;0.250018;0.250010;0.251614;0.250018;0.277615;0.143706
POLICIES_no_policy;0.819128;0.813365;0.847208;0.250030;0.366365;0.112894;0.250030;0.250018;0.252421;0.250030;0.269606;0.174616
POLICIES_rent;0.060291;0.062500;0.049526;0.249819;0.112635;0.411531;0.249819;0.249832;0.247175;0.249819;0.228684;0.331239
POLICIES_wage;0.060291;0.060770;0.057956;0.250133;0.080722;0.449834;0.250133;0.250140;0.248789;0.250133;0.224095;0.350439
PROCESSING_ACPS_BELEM;0.000359;0.000433;0.000000;0.034469;0.037610;0.030767;0.034469;0.034471;0.034100;0.034469;0.034827;0.033088
PROCESSING_ACPS_BELO HORIZONTE;0.019200;0.020329;0.013699;0.034627;0.001887;0.073221;0.034627;0.034621;0.035916;0.034627;0.030549;0.050338
PROCESSING_ACPS_BRASILIA;0.908487;0.906791;0.916754;0.034454;0.044175;0.022995;0.034454;0.034455;0.034302;0.034454;0.036991;0.024679
PROCESSING_ACPS_CAMPINAS;0.019200;0.018599;0.022129;0.034708;0.030854;0.039251;0.034708;0.034708;0.034705;0.034708;0.033851;0.038008
PROCESSING_ACPS_CAMPO GRANDE;0.000359;0.000433;0.000000;0.034611;0.036222;0.032712;0.034611;0.034619;0.033091;0.034611;0.034540;0.034883
PROCESSING_ACPS_CUIABA;0.000359;0.000433;0.000000;0.034489;0.037595;0.030828;0.034489;0.034494;0.033495;0.034489;0.034807;0.033263
PROCESSING_ACPS_FEIRA DE SANTANA;0.000359;0.000433;0.000000;0.034680;0.036408;0.032643;0.034680;0.034680;0.034705;0.034680;0.034799;0.034223
PROCESSING_ACPS_FORTALEZA;0.019200;0.020112;0.014752;0.034240;0.019040;0.052158;0.034240;0.034242;0.033898;0.034240;0.033414;0.037421
PROCESSING_ACPS_ILHEUS - ITABUNA;0.000359;0.000433;0.000000;0.034386;0.037273;0.030982;0.034386;0.034394;0.032688;0.034386;0.034623;0.033471
PROCESSING_ACPS_IPATINGA;0.000359;0.000433;0.000000;0.034789;0.036418;0.032869;0.034789;0.034781;0.036320;0.034789;0.034938;0.034214
PROCESSING_ACPS_JOAO PESSOA;0.000359;0.000433;0.000000;0.034123;0.036970;0.030767;0.034123;0.034112;0.036320;0.034123;0.034562;0.032433
PROCESSING_ACPS_JOINVILLE;0.000359;0.000433;0.000000;0.034417;0.036192;0.032325;0.034417;0.034397;0.038337;0.034417;0.034463;0.034238
PROCESSING_ACPS_JUNDIAI;0.000359;0.000433;0.000000;0.034659;0.036296;0.032730;0.034659;0.034641;0.038337;0.034659;0.034758;0.034277
PROCESSING_ACPS_LONDRINA;0.000359;0.000216;0.001054;0.033916;0.036793;0.030525;0.033916;0.033913;0.034504;0.033916;0.034093;0.033234
PROCESSING_ACPS_MACEIO;0.000359;0.000433;0.000000;0.034131;0.037124;0.030603;0.034131;0.034148;0.030670;0.034131;0.034501;0.032705
PROCESSING_ACPS_MANAUS;0.000359;0.000433;0.000000;0.034736;0.037820;0.031100;0.034736;0.034737;0.034504;0.034736;0.035043;0.033554
