;tot_current;current_0;current_1;tot_Tree;Tree_0;Tree_1;tot_Voting;Voting_0;Voting_1
PROCESSING_ACPS_MACEIO;0.000359;0.000417;0.000000;0.034284;0.035595;0.032058;0.034284;0.034385;0.033871
PROCESSING_ACPS_MANAUS;0.000359;0.000417;0.000000;0.034272;0.036173;0.031043;0.034272;0.034556;0.033105
PROCESSING_ACPS_MARINGA;0.000359;0.000000;0.002567;0.034686;0.036523;0.031567;0.034686;0.034927;0.033697
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.000359;0.000209;0.001284;0.034434;0.036545;0.030849;0.034434;0.034556;0.033932
PROCESSING_ACPS_PORTO ALEGRE;0.019200;0.019608;0.016688;0.034170;0.031038;0.039489;0.034170;0.033586;0.036566
PROCESSING_ACPS_RECIFE;0.000359;0.000417;0.000000;0.034038;0.032357;0.036894;0.034038;0.033345;0.036882
PROCESSING_ACPS_SALVADOR;0.000359;0.000417;0.000000;0.034428;0.033126;0.036640;0.034428;0.033643;0.037648
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.000359;0.000209;0.001284;0.034334;0.036027;0.031459;0.034334;0.034064;0.035443
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.000359;0.000417;0.000000;0.034430;0.035890;0.031950;0.034430;0.034424;0.034453
PROCESSING_ACPS_SAO LUIS;0.000359;0.000417;0.000000;0.034472;0.036144;0.031631;0.034472;0.034377;0.034861
PROCESSING_ACPS_SAO PAULO;0.000359;0.000209;0.001284;0.034882;0.034028;0.036332;0.034882;0.034141;0.037924
PROCESSING_ACPS_SOROCABA;0.000359;0.000417;0.000000;0.034354;0.035833;0.031842;0.034354;0.034666;0.033075
PROCESSING_ACPS_TERESINA;0.000359;0.000417;0.000000;0.034598;0.036376;0.031578;0.034598;0.034812;0.033718
PROCESSING_ACPS_UBERLANDIA;0.000359;0.000417;0.000000;0.034184;0.035490;0.031966;0.034184;0.034584;0.032544
PROCESSING_ACPS_VITORIA;0.000359;0.000209;0.001284;0.034174;0.036100;0.030903;0.034174;0.034146;0.034290
STARTING_DAY_2000-01-01;0.015073;0.014602;0.017972;0.499104;0.581253;0.359577;0.499104;0.505472;0.472969
STARTING_DAY_2010-01-01;0.984927;0.985398;0.982028;0.500896;0.418747;0.640423;0.500896;0.494528;0.527031
T_LICENSES_PER_REGION_False;0.003768;0.003755;0.003851;0.334034;0.334368;0.333466;0.334034;0.334738;0.331145
T_LICENSES_PER_REGION_True;0.003768;0.004172;0.001284;0.333110;0.333466;0.332506;0.333110;0.332860;0.334136
T_LICENSES_PER_REGION_random;0.992464;0.992073;0.994865;0.332856;0.332166;0.334028;0.332856;0.332402;0.334718
WAGE_IGNORE_UNEMPLOYMENT_False;0.996232;0.996037;0.997433;0.501086;0.500788;0.501592;0.501086;0.500771;0.502379
WAGE_IGNORE_UNEMPLOYMENT_True;0.003768;0.003963;0.002567;0.498914;0.499212;0.498408;0.498914;0.499229;0.497621
