;tot_current;current_0;current_1;tot_Tree;Tree_0;Tree_1
HIRING_SAMPLE_SIZE;19.948808;19.944587;20.017868;19.955197;19.949350;19.976956
LABOR_MARKET;0.746682;0.746599;0.748041;0.742236;0.742241;0.742218
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.598673;0.598758;0.597283;0.598672;0.598570;0.599053
MARKUP;0.150000;0.149952;0.150784;0.150019;0.150038;0.149945
MAX_LOAN_TO_VALUE;0.598673;0.598742;0.597544;0.598975;0.598867;0.599375
MUNICIPAL_EFFICIENCY_MANAGEMENT;0.000100;0.000100;0.000100;0.000100;0.000100;0.000100
NEIGHBORHOOD_EFFECT;2.994312;2.994348;2.993730;2.993473;2.994733;2.988783
OFFER_SIZE_ON_PRICE;2.000000;2.000000;2.000000;1.998340;1.998370;1.998228
PCT_DISTANCE_HIRING;0.302654;0.302791;0.300418;0.306033;0.306356;0.304829
PERCENTAGE_ACTUAL_POP;0.009965;0.009967;0.009922;0.010147;0.011286;0.005906
PERCENTAGE_ENTERING_ESTATE_MARKET;0.004779;0.004772;0.004880;0.004984;0.005007;0.004900
PERCENT_CONSTRUCTION_FIRMS;0.030171;0.030178;0.030047;0.030157;0.030155;0.030166
POLICY_COEFFICIENT;0.214653;0.214907;0.210502;0.208590;0.208897;0.207447
POLICY_DAYS;323.808234;323.475762;329.247649;354.195596;357.215490;342.957930
POLICY_QUANTILE;0.179135;0.178923;0.182602;0.200303;0.201304;0.196576
PRIVATE_TRANSIT_COST;0.250000;0.250000;0.250000;0.249804;0.249824;0.249727
PRODUCTIVITY_EXPONENT;0.598009;0.597916;0.599530;0.597750;0.597670;0.598047
PRODUCTIVITY_MAGNITUDE_DIVISOR;12.086268;12.087740;12.062173;11.773760;11.778477;11.756208
PUBLIC_TRANSIT_COST;0.052654;0.052722;0.051541;0.097476;0.098212;0.094734
SIZE_MARKET;10.004740;10.005605;9.990596;10.005258;10.005260;10.005251
STICKY_PRICES;0.500000;0.499923;0.501254;0.500105;0.500090;0.500162
TAX_ESTATE_TRANSACTION;0.004987;0.004988;0.004969;0.004987;0.004987;0.004989
TOTAL_DAYS;3735.112676;3733.543303;3760.788401;4442.679105;4464.474795;4361.572715
ALTERNATIVE0_False;0.003792;0.003641;0.006270;0.497795;0.496955;0.500921
ALTERNATIVE0_True;0.996208;0.996359;0.993730;0.502205;0.503045;0.499079
FPM_DISTRIBUTION_False;0.003792;0.003641;0.006270;0.502170;0.501034;0.506397
FPM_DISTRIBUTION_True;0.996208;0.996359;0.993730;0.497830;0.498966;0.493603
INTEREST_fixed;0.001896;0.001916;0.001567;0.331445;0.331830;0.330013
INTEREST_nominal;0.001896;0.001916;0.001567;0.333665;0.333467;0.334403
INTEREST_real;0.996208;0.996168;0.996865;0.334890;0.334704;0.335584
POLICIES_buy;0.121885;0.122437;0.112853;0.249960;0.306189;0.040720
POLICIES_no_policy;0.634345;0.632592;0.663009;0.252155;0.262418;0.213965
