;tot_current;current_0;current_1;tot_Tree;Tree_0;Tree_1
POLICIES_rent;0.121885;0.123012;0.103448;0.248630;0.218513;0.360701
POLICIES_wage;0.121885;0.121958;0.120690;0.249255;0.212880;0.384614
PROCESSING_ACPS_ARACAJU;0.010563;0.010922;0.004702;0.022145;0.023027;0.018861
PROCESSING_ACPS_BELEM;0.010563;0.010251;0.015674;0.021800;0.020630;0.026156
PROCESSING_ACPS_BELO HORIZONTE;0.020043;0.020502;0.012539;0.021725;0.006356;0.078915
PROCESSING_ACPS_BRASILIA;0.486728;0.485821;0.501567;0.021400;0.027151;0.000000
PROCESSING_ACPS_CAMPINA GRANDE;0.010563;0.010922;0.004702;0.021615;0.022526;0.018224
PROCESSING_ACPS_CAMPINAS;0.020043;0.019831;0.023511;0.021555;0.016024;0.042137
PROCESSING_ACPS_CAMPO GRANDE;0.010563;0.010538;0.010972;0.022365;0.022901;0.020372
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;0.010563;0.010443;0.012539;0.021965;0.022450;0.020160
PROCESSING_ACPS_CAXIAS DO SUL;0.010563;0.010826;0.006270;0.021490;0.022520;0.017657
PROCESSING_ACPS_CRAJUBAR;0.010563;0.010538;0.010972;0.021820;0.022609;0.018885
PROCESSING_ACPS_CUIABA;0.010563;0.010826;0.006270;0.021950;0.022488;0.019947
PROCESSING_ACPS_CURITIBA;0.010563;0.010251;0.015674;0.021995;0.014724;0.049053
PROCESSING_ACPS_FEIRA DE SANTANA;0.010563;0.010826;0.006270;0.021245;0.021936;0.018672
PROCESSING_ACPS_FLORIANOPOLIS;0.010563;0.010251;0.015674;0.021465;0.022127;0.019003
PROCESSING_ACPS_FORTALEZA;0.020043;0.020119;0.018809;0.021325;0.022488;0.016996
PROCESSING_ACPS_GOIANIA;0.010563;0.010538;0.010972;0.022555;0.023326;0.019687
PROCESSING_ACPS_ILHEUS - ITABUNA;0.010563;0.010538;0.010972;0.021900;0.022634;0.019168
PROCESSING_ACPS_IPATINGA;0.010563;0.010251;0.015674;0.021980;0.022463;0.020183
PROCESSING_ACPS_JOAO PESSOA;0.010563;0.010826;0.006270;0.022200;0.022621;0.020632
PROCESSING_ACPS_JOINVILLE;0.002979;0.002970;0.003135;0.022415;0.022672;0.021458
PROCESSING_ACPS_JUIZ DE FORA;0.010563;0.010826;0.006270;0.021360;0.022158;0.018389
PROCESSING_ACPS_JUNDIAI;0.010563;0.010826;0.006270;0.021710;0.022431;0.019026
PROCESSING_ACPS_LONDRINA;0.010563;0.010826;0.006270;0.021510;0.021828;0.020325
PROCESSING_ACPS_MACAPA;0.010563;0.010538;0.010972;0.021420;0.022165;0.018649
PROCESSING_ACPS_MACEIO;0.010563;0.010443;0.012539;0.021310;0.021917;0.019050
PROCESSING_ACPS_MANAUS;0.010563;0.010922;0.004702;0.021715;0.022368;0.019286
PROCESSING_ACPS_MARINGA;0.010563;0.010443;0.012539;0.021400;0.021917;0.019475
PROCESSING_ACPS_NATAL;0.010563;0.010634;0.009404;0.021010;0.021613;0.018767
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.010563;0.010443;0.012539;0.021725;0.022418;0.019145
PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.010563;0.010826;0.006270;0.021250;0.021499;0.020325
PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.010563;0.010730;0.007837;0.021800;0.022038;0.020915
PROCESSING_ACPS_PORTO ALEGRE;0.020043;0.020119;0.018809;0.021535;0.024804;0.009372
PROCESSING_ACPS_RECIFE;0.010563;0.010826;0.006270;0.021620;0.022476;0.018436
PROCESSING_ACPS_RIBEIRAO PRETO;0.010563;0.010347;0.014107;0.021685;0.022374;0.019121
PROCESSING_ACPS_RIO DE JANEIRO;0.018147;0.018107;0.018809;0.022235;0.020166;0.029932
PROCESSING_ACPS_SALVADOR;0.010563;0.010347;0.014107;0.021355;0.022260;0.017988
PROCESSING_ACPS_SANTOS;0.010563;0.010538;0.010972;0.021995;0.022736;0.019239
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.010563;0.010059;0.018809;0.022015;0.022672;0.019569
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.010563;0.010538;0.010972;0.021805;0.022501;0.019215
PROCESSING_ACPS_SAO LUIS;0.010563;0.010347;0.014107;0.021725;0.022672;0.018200
PROCESSING_ACPS_SAO PAULO;0.010563;0.010634;0.009404;0.021355;0.018701;0.031231
PROCESSING_ACPS_SOROCABA;0.010563;0.010826;0.006270;0.021905;0.022292;0.020466
PROCESSING_ACPS_TERESINA;0.010563;0.010634;0.009404;0.021675;0.022609;0.018200
PROCESSING_ACPS_UBERLANDIA;0.010563;0.010347;0.014107;0.022170;0.022621;0.020490
PROCESSING_ACPS_VITORIA;0.010563;0.010155;0.017241;0.022295;0.023053;0.019475
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.010563;0.010730;0.007837;0.021510;0.022038;0.019546
STARTING_DAY_2000-01-01;0.007584;0.007281;0.012539;0.498615;0.498503;0.499032
STARTING_DAY_2010-01-01;0.992416;0.992719;0.987461;0.501385;0.501497;0.500968
T_LICENSES_PER_REGION_False;0.001896;0.001916;0.001567;0.332985;0.332610;0.334380
T_LICENSES_PER_REGION_True;0.001896;0.001820;0.003135;0.334575;0.334463;0.334994
T_LICENSES_PER_REGION_random;0.996208;0.996264;0.995298;0.332440;0.332927;0.330627
WAGE_IGNORE_UNEMPLOYMENT_True;0.001896;0.001916;0.001567;1.000000;1.000000;1.000000
