;size;optimal;non-optimal;optimal_count;non-optimal_count
PROCESSING_ACPS_MACAPA;0.021773;0.1882147614017361;0.8117852385982639;4098;17675
PROCESSING_ACPS_NATAL;0.021888;0.18535270467836257;0.8146472953216374;4057;17831
PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.021571;0.19809002827870753;0.8019099717212925;4273;17298
PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.021752;0.1921202648032365;0.8078797351967635;4179;17573
PROCESSING_ACPS_RIBEIRAO PRETO;0.021633;0.18726020431747792;0.8127397956825221;4051;17582
PROCESSING_ACPS_RIO DE JANEIRO;0.021879;0.27953745600804425;0.7204625439919558;6116;15763
PROCESSING_ACPS_SANTOS;0.021699;0.18005438038619292;0.8199456196138071;3907;17792
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.021599;0.1907032732996898;0.8092967267003102;4119;17480
T_LICENSES_PER_REGION_False;0.334313;0.21356931976919832;0.7864306802308016;71399;262914
T_LICENSES_PER_REGION_True;0.332275;0.2138289067790234;0.7861710932209766;71050;261225
T_LICENSES_PER_REGION_random;0.333412;0.21317769006514461;0.7868223099348554;71076;262336
STARTING_DAY_2000-01-01;0.499919;0.21255243349422606;0.787447566505774;106259;393660
STARTING_DAY_2010-01-01;0.500081;0.21449725144526588;0.7855027485547341;107266;392815
FPM_DISTRIBUTION_False;0.499717;0.21309060928485524;0.7869093907151448;106485;393232
FPM_DISTRIBUTION_True;0.500283;0.21395889926301714;0.7860411007369829;107040;393243
ALTERNATIVE0_False;0.499152;0.21289707343654837;0.7871029265634516;106268;392884
ALTERNATIVE0_True;0.500848;0.21415080024278824;0.7858491997572118;107257;393591
