;tot_current;current_0;current_1;tot_Tree;Tree_0;Tree_1
HIRING_SAMPLE_SIZE;19.948808;19.944587;20.017868;19.918621;19.919527;19.915283
LABOR_MARKET;0.746682;0.746599;0.748041;0.742252;0.742106;0.742788
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.598673;0.598758;0.597283;0.598868;0.598907;0.598722
MARKUP;0.150000;0.149952;0.150784;0.150232;0.150308;0.149955
MAX_LOAN_TO_VALUE;0.598673;0.598742;0.597544;0.599466;0.599569;0.599085
MUNICIPAL_EFFICIENCY_MANAGEMENT;0.000100;0.000100;0.000100;0.000100;0.000100;0.000100
NEIGHBORHOOD_EFFECT;2.994312;2.994348;2.993730;2.993172;2.994804;2.987161
OFFER_SIZE_ON_PRICE;2.000000;2.000000;2.000000;2.001430;2.001578;2.000882
PCT_DISTANCE_HIRING;0.302654;0.302791;0.300418;0.305541;0.306069;0.303597
PERCENTAGE_ACTUAL_POP;0.009965;0.009967;0.009922;0.010148;0.011307;0.005879
PERCENTAGE_ENTERING_ESTATE_MARKET;0.004779;0.004772;0.004880;0.004973;0.004992;0.004903
PERCENT_CONSTRUCTION_FIRMS;0.030171;0.030178;0.030047;0.030163;0.030155;0.030194
POLICY_COEFFICIENT;0.214653;0.214907;0.210502;0.208518;0.208417;0.208890
POLICY_DAYS;323.808234;323.475762;329.247649;353.997152;357.266148;341.958278
POLICY_QUANTILE;0.179135;0.178923;0.182602;0.199976;0.200818;0.196878
PRIVATE_TRANSIT_COST;0.250000;0.250000;0.250000;0.249965;0.250076;0.249558
PRODUCTIVITY_EXPONENT;0.598009;0.597916;0.599530;0.597718;0.597925;0.596955
PRODUCTIVITY_MAGNITUDE_DIVISOR;12.086268;12.087740;12.062173;11.756637;11.763824;11.730170
PUBLIC_TRANSIT_COST;0.052654;0.052722;0.051541;0.097350;0.098154;0.094390
SIZE_MARKET;10.004740;10.005605;9.990596;10.008471;10.009864;10.003338
STICKY_PRICES;0.500000;0.499923;0.501254;0.500413;0.500355;0.500628
TAX_ESTATE_TRANSACTION;0.004987;0.004988;0.004969;0.004986;0.004988;0.004979
TOTAL_DAYS;3735.112676;3733.543303;3760.788401;4443.851747;4466.334429;4361.053782
ALTERNATIVE0_False;0.003792;0.003641;0.006270;0.499870;0.500528;0.497448
ALTERNATIVE0_True;0.996208;0.996359;0.993730;0.500130;0.499472;0.502552
FPM_DISTRIBUTION_False;0.003792;0.003641;0.006270;0.495720;0.493928;0.502318
FPM_DISTRIBUTION_True;0.996208;0.996359;0.993730;0.504280;0.506072;0.497682
INTEREST_fixed;0.001896;0.001916;0.001567;0.333450;0.334440;0.329806
INTEREST_nominal;0.001896;0.001916;0.001567;0.334830;0.334529;0.335940
INTEREST_real;0.996208;0.996168;0.996865;0.331720;0.331032;0.334254
POLICIES_buy;0.121885;0.122437;0.112853;0.251790;0.308500;0.042941
POLICIES_no_policy;0.634345;0.632592;0.663009;0.246730;0.257626;0.206603
POLICIES_rent;0.121885;0.123012;0.103448;0.250520;0.219556;0.364552
POLICIES_wage;0.121885;0.121958;0.120690;0.250960;0.214318;0.385905
PROCESSING_ACPS_ARACAJU;0.010563;0.010922;0.004702;0.022140;0.023142;0.018450
PROCESSING_ACPS_BELEM;0.010563;0.010251;0.015674;0.021930;0.020408;0.027535
