;z_simulated_optimal;z_ml_optimal;z_simulated_non_optimal;z_ml_non_optimal;difference_optimals;difference;p_value;reject_null_hypothesis
POLICIES_buy;-0.11718424108121687;-0.3161411568461087;0.0071626313287810215;0.08583113324080917;0.19895691576489183;0.0;1.0;no
POLICIES_rent;0.17055101922752774;0.17228759551887143;-0.01042455932814356;-0.046775433209151014;-0.0017365762913436888;0.0;1.0;no
POLICIES_wage;0.30208713822581096;0.20584871562542;-0.018464417914166253;-0.05588715089979693;0.09623842260039095;0.0;1.0;no
POLICIES_no_policy;-0.2929608047105491;-0.061908700344450396;0.01790659066922123;0.016807978945355934;-0.2310521043660987;0.0;1.0;no
INTEREST_fixed;-0.009090406637673578;0.00038299402481052196;0.0005556312928564607;-0.00010398143507128868;-0.0094734006624841;0.0;1.0;no
INTEREST_real;0.01529544967178284;0.00043973820137223097;-0.000934901024199722;-0.00011938726526334138;0.014855711470410609;0.0;1.0;no
INTEREST_nominal;-0.009090406637673498;-0.0008228019777168959;0.0005556312928564558;0.00022338763761340928;-0.008267604659956601;0.0;1.0;no
PROCESSING_ACPS_BELO HORIZONTE;0.7000893161286914;0.14815983687124995;-0.04279143357828178;-0.04022483762094617;0.5519294792574414;0.0;1.0;no
PROCESSING_ACPS_FORTALEZA;-0.024231889480548816;-0.009051923608665078;0.0014811214302155732;0.00245756316289801;-0.015179965871883737;0.0;1.0;no
PROCESSING_ACPS_PORTO ALEGRE;-0.053539683927164884;-0.029106029466050256;0.0032724964883628278;0.007902177363219916;-0.024433654461114628;0.0;1.0;no
PROCESSING_ACPS_CAMPINAS;0.25209874387326237;0.05252453534788345;-0.015408986260887278;-0.014260213497131892;0.1995742085253789;0.0;1.0;no
PROCESSING_ACPS_SALVADOR;0.03068986755754273;-0.008189956658070334;-0.001875851264774119;0.002223542382675187;0.03887982421561306;0.0;1.0;no
PROCESSING_ACPS_RECIFE;-0.03303734899051536;-0.0064747112584220366;0.0020193359509435554;0.0017578597176700669;-0.026562637732093324;0.0;1.0;no
PROCESSING_ACPS_SAO PAULO;0.5405075999420079;0.026135632770159335;-0.03303734899051552;-0.007095725849198359;0.5143719671718486;0.0;1.0;no
PROCESSING_ACPS_JOINVILLE;-0.012762102057849268;-0.003628287798822434;0.0007800556728212146;0.0009850664703182682;-0.009133814259026833;0.0;1.0;no
PROCESSING_ACPS_CAMPO GRANDE;-0.033037348990515206;-0.004784303067669156;0.002019335950943546;0.0012989202613230598;-0.02825304592284605;0.0;1.0;no
PROCESSING_ACPS_JUNDIAI;-0.033037348990515185;-0.006824847480574091;0.0020193359509435445;0.001852920383088568;-0.026212501509941095;0.0;1.0;no
PROCESSING_ACPS_FEIRA DE SANTANA;-0.033037348990515365;-0.0065506768339364425;0.0020193359509435554;0.0017784840852745156;-0.026486672156578923;0.0;1.0;no
PROCESSING_ACPS_IPATINGA;-0.03303734899051564;-0.005598300666098153;0.0020193359509435723;0.0015199175431242073;-0.02743904832441749;0.0;1.0;no
PROCESSING_ACPS_LONDRINA;-0.0330373489905156;-0.005650940963795592;0.0020193359509435697;0.0015342091856631877;-0.02738640802672001;0.0;1.0;no
PROCESSING_ACPS_SOROCABA;-0.033037348990515546;-0.005574760553423866;0.0020193359509435662;0.0015135264912042147;-0.02746258843709168;0.0;1.0;no
PROCESSING_ACPS_JOAO PESSOA;-0.03303734899051558;-0.004881589263813993;0.002019335950943569;0.001325333097118009;-0.028155759726701587;0.0;1.0;no
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;-0.03303734899051502;-0.008988688608946397;0.002019335950943534;0.002440395098668458;-0.024048660381568623;0.0;1.0;no
PROCESSING_ACPS_MACEIO;-0.03303734899051563;-0.0044799146141308145;0.0020193359509435714;0.0012162799427601484;-0.028557434376384815;0.0;1.0;no
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;-0.03303734899051568;-0.00640094332045062;0.002019335950943575;0.0017378320003804616;-0.026636405670065057;0.0;1.0;no
PROCESSING_ACPS_ILHEUS - ITABUNA;-0.03303734899051542;-0.005766313376109183;0.002019335950943559;0.0015655323610206436;-0.027271035614406237;0.0;1.0;no
PROCESSING_ACPS_SAO LUIS;-0.03303734899051517;-0.007523246208602688;0.0020193359509435437;0.002042533007014702;-0.025514102781912483;0.0;1.0;no
PROCESSING_ACPS_UBERLANDIA;-0.03303734899051528;-0.005132604399101234;0.0020193359509435506;0.00139348276082278;-0.02790474459141405;0.0;1.0;no
PROCESSING_ACPS_MARINGA;-0.03303734899051544;-0.0038464640711568824;0.00201933595094356;0.0010443005064290332;-0.02919088491935856;0.0;1.0;no
PROCESSING_ACPS_VITORIA;-0.03303734899051529;-0.005784518987050913;0.002019335950943551;0.0015704751158142941;-0.027252830003464377;0.0;1.0;no
PROCESSING_ACPS_CUIABA;-0.033037348990515435;-0.005981935451177146;0.0020193359509435597;0.0016240729421947366;-0.02705541353933829;0.0;1.0;no
PROCESSING_ACPS_BELEM;0.08951499052498064;0.01373901035222328;-0.005471408694667335;-0.0037300895584201316;0.07577598017275737;0.0;1.0;no
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;-0.03303734899051545;-0.006310905503047526;0.0020193359509435606;0.0017133870721106508;-0.026726443487467923;0.0;1.0;no
