;z_simulated_optimal;z_ml_optimal;z_simulated_non_optimal;z_ml_non_optimal;difference_optimals;difference;p_value;reject_null_hypothesis
PROCESSING_ACPS_TERESINA;-0.033037348990515115;-0.006807651436987973;0.0020193359509435406;0.001848251722029129;-0.026229697553527144;0.0;1.0;no
PROCESSING_ACPS_MANAUS;-0.0330373489905154;-0.005153604047699405;0.0020193359509435575;0.00139918408631554;-0.027883744942815994;0.0;1.0;no
PROCESSING_ACPS_BRASILIA;-0.5620882258094759;-0.057241011804424785;0.034356417710906896;0.015540719089023557;-0.5048472140050512;n=0;not_applicable;not_applicable
PROCESSING_ACPS_ARACAJU;-0.03303734899051473;-0.008608296252750098;0.0020193359509435168;0.002337120006825982;-0.024429052737764627;0.0;1.0;no
PROCESSING_ACPS_CAMPINA GRANDE;-0.033037348990514755;-0.005483635036784066;0.0020193359509435185;0.0014887862566887902;-0.02755371395373069;0.0;1.0;no
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;-0.033037348990515435;-0.007839872044394118;0.0020193359509435597;0.0021284957287634686;-0.025197476946121317;0.0;1.0;no
PROCESSING_ACPS_CAXIAS DO SUL;-0.03303734899051502;-0.006433572497557637;0.0020193359509435346;0.0017466906990571815;-0.026603776492957382;0.0;1.0;no
PROCESSING_ACPS_CRAJUBAR;-0.03303734899051563;-0.006103275076315607;0.0020193359509435714;0.001657016193356807;-0.026934073914200024;0.0;1.0;no
PROCESSING_ACPS_CURITIBA;0.24147989152419433;0.06783016529992873;-0.014759932055224755;-0.018415634375749113;0.1736497262242656;0.0;1.0;no
PROCESSING_ACPS_FLORIANOPOLIS;-0.033037348990515324;-0.005818371309686846;0.002019335950943553;0.0015796658938947638;-0.02721897768082848;0.0;1.0;no
PROCESSING_ACPS_GOIANIA;-0.033037348990515164;-0.006885459289398017;0.0020193359509435432;0.0018693762608712426;-0.026151889701117148;0.0;1.0;no
PROCESSING_ACPS_JUIZ DE FORA;-0.033037348990515525;-0.006808989145522331;0.0020193359509435654;0.0018486149048573132;-0.026228359844993193;0.0;1.0;no
PROCESSING_ACPS_MACAPA;-0.033037348990515185;-0.006755792495718532;0.0020193359509435445;0.0018341722148171214;-0.026281556494796653;0.0;1.0;no
PROCESSING_ACPS_NATAL;-0.033037348990515435;-0.007549721216768932;0.0020193359509435597;0.002049720872005569;-0.025487627773746503;0.0;1.0;no
PROCESSING_ACPS_PELOTAS - RIO GRANDE;-0.0330373489905155;-0.004090981236735668;0.0020193359509435636;0.0011106859958345543;-0.02894636775377983;0.0;1.0;no
PROCESSING_ACPS_PETROLINA - JUAZEIRO;-0.033037348990515684;-0.005709174044063587;0.0020193359509435753;0.0015500192476031363;-0.027328174946452097;0.0;1.0;no
PROCESSING_ACPS_RIBEIRAO PRETO;-0.03303734899051498;-0.006976496970418252;0.0020193359509435315;0.0018940926483468146;-0.026060852020096725;0.0;1.0;no
PROCESSING_ACPS_RIO DE JANEIRO;0.42223732481427717;0.017684778143926924;-0.02580833619769198;-0.0048013506509196;0.40455254667035023;0.0;1.0;no
PROCESSING_ACPS_SANTOS;-0.03303734899051533;-0.008911004995324507;0.002019335950943553;0.0024193042901893506;-0.024126343995190824;0.0;1.0;no
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;-0.033037348990515795;-0.006054743937678357;0.002019335950943582;0.0016438401720242466;-0.02698260505283744;0.0;1.0;no
T_LICENSES_PER_REGION_False;-0.009090406637673553;0.00010102903137151632;0.000555631292856459;-2.7429001460501084e-05;-0.009191435669045069;0.0;1.0;no
T_LICENSES_PER_REGION_True;-0.009090406637673566;0.0006890734199806862;0.0005556312928564599;-0.0001870808379177345;-0.009779480057654251;0.0;1.0;no
T_LICENSES_PER_REGION_random;0.015295449671782296;-0.000789841635404637;-0.0009349010241996887;0.00021443902883091506;0.016085291307186934;0.0;1.0;no
STARTING_DAY_2000-01-01;-0.025748314852674124;-0.0032202176192139467;0.0015738096259825705;0.0008742769536763997;-0.02252809723346018;0.0;1.0;no
STARTING_DAY_2010-01-01;0.025748314852674203;0.0032202176192139467;-0.0015738096259824326;-0.0008742769536763997;0.022528097233460255;0.0;1.0;no
FPM_DISTRIBUTION_False;-0.015295449671782702;-0.0014377088960992916;0.0009349010241997846;0.000390332549718142;-0.01385774077568341;0.0;1.0;no
FPM_DISTRIBUTION_True;0.01529544967178264;0.0014377088960991348;-0.0009349010241997098;-0.00039033254971822056;0.013857740775683506;0.0;1.0;no
ALTERNATIVE0_False;-0.015295449671782702;-0.0020759087084567633;0.0009349010241997846;0.0005636013947973462;-0.013219540963325938;0.0;1.0;no
ALTERNATIVE0_True;0.015295449671782639;0.002075908708456842;-0.0009349010241997096;-0.0005636013947972677;0.013219540963325798;0.0;1.0;no
