month;price_index;gdp_index;gdp_growth;unemployment;average_workers;families_median_wealth;families_wealth;families_commuting;families_savings;families_helped;amount_subsidised;firms_wealth;firms_profit;gini_index;average_utility;pct_zero_consumption;rent_default;inflation;average_qli;house_vacancy;house_price;house_rent;affordable;p_delinquent;equally;locally;fpm;bank
;1.77;1551.011;-0.135;0.0;47.456;1.151;3572.53;344.325;6310.916;0;0.0;133954.79;0.0;0.389;0.5019;0.0107;0.0;0.001;0.824;0.386;184.148;0.3994;0.2535;0.6279;31067.5842;56513.7782;9489.5431;0.7211
;1.77;1551.011;-0.135;0.0;47.456;1.151;3572.53;344.325;6310.916;0;0.0;133954.79;0.0;0.389;0.5019;0.0107;0.0;0.001;0.8240000000000001;0.386;184.148;0.3994;0.2535;0.6279;31067.5842;56513.7782;9489.5431;0.7211
;1.182;688.478;0.064;0.0;41.95;1.382;3222.657;255.843;3645.289;0;0.0;132464.815;0.0;0.45;0.2874;0.0217;0.0089;0.0;0.782;0.275;343.5664;0.5736;0.2074;0.5714;16545.6708;31420.1692;3945.012;0.5346
;1.182;688.4780000000001;0.064;0.0;41.95;1.382;3222.657;255.843;3645.289;0;0.0;132464.815;0.0;0.45;0.2874;0.0217;0.0089;0.0;0.782;0.275;343.5664;0.5736;0.2074;0.5714;16545.6708;31420.1692;3945.012;0.5346
;1.711;1249.092;0.106;0.0;65.69;1.305;3516.622;257.972;5373.861;0;0.0;69337.482;0.0;0.405;0.4554;0.0145;0.0039;0.0015;0.851;0.365;221.0098;0.4854;0.2339;0.6429;27120.4936;50958.1791;6488.9424;1.1503
;1.711;1249.092;0.106;0.0;65.69;1.305;3516.6220000000003;257.972;5373.861;0;0.0;69337.482;0.0;0.405;0.4554;0.0145;0.0039;0.0015;0.851;0.365;221.0098;0.4854;0.2339;0.6429;27120.4936;50958.1791;6488.9424;1.1503
;1.186;723.31;-0.988;0.0;37.689;1.233;4267.953;296.933;4842.216;0;0.0;213737.303;-0.607;0.509;0.2334;0.0364;0.0069;-0.0069;0.843;0.214;397.4026;0.5787;0.1678;0.75;18462.4583;32207.3628;4427.8682;2.1234
;1.186;723.31;-0.988;0.0;37.689;1.233;4267.953;296.933;4842.215999999999;0;0.0;213737.303;-0.607;0.509;0.2334;0.0364;0.0069;-0.0069;0.843;0.214;397.4026;0.5787;0.1678;0.75;18462.4583;32207.3628;4427.8682;2.1234
;1.151;578.27;-0.48;0.0;163.034;1.185;1879.255;401.21;4110.303;0;0.0;10281.056;0.0;0.441;0.3614;0.0168;0.0044;0.0;0.736;0.377;176.3792;0.4528;0.2266;0.7143;12954.4346;23619.8994;2973.7949;2.7619
;1.151;578.27;-0.48;0.0;163.034;1.185;1879.255;401.21;4110.303;0;0.0;10281.056;0.0;0.441;0.3614;0.0168;0.0044;0.0;0.736;0.377;176.3792;0.4528;0.2266;0.7143;12954.4346;23619.8994;2973.7949;2.7619
;1.137;1015.681;-0.085;0.0;85.85;1.125;4657.718;310.768;6956.23;0;0.0;103103.343;0.0;0.452;0.2508;0.0273;0.0036;0.0;0.634;0.301;265.9479;0.4644;0.2081;0.8125;24886.3805;47706.6379;6015.4509;2.0619
