;tot_current;current_0;current_1;tot_Tree;Tree_0;Tree_1
PROCESSING_ACPS_BELEM;0.010563;0.010251;0.015674;0.021457;0.020051;0.026606
PROCESSING_ACPS_BELO HORIZONTE;0.020043;0.020502;0.012539;0.021752;0.006184;0.078783
PROCESSING_ACPS_BRASILIA;0.486728;0.485821;0.501567;0.021615;0.027515;0.000000
PROCESSING_ACPS_CAMPINA GRANDE;0.010563;0.010922;0.004702;0.021498;0.022213;0.018880
PROCESSING_ACPS_CAMPINAS;0.020043;0.019831;0.023511;0.022047;0.016780;0.041342
PROCESSING_ACPS_CAMPO GRANDE;0.010563;0.010538;0.010972;0.021463;0.021990;0.019533
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;0.010563;0.010443;0.012539;0.021820;0.022485;0.019385
PROCESSING_ACPS_CAXIAS DO SUL;0.010563;0.010826;0.006270;0.022033;0.022659;0.019742
PROCESSING_ACPS_CRAJUBAR;0.010563;0.010538;0.010972;0.021813;0.022402;0.019657
PROCESSING_ACPS_CUIABA;0.010563;0.010826;0.006270;0.021607;0.022105;0.019781
PROCESSING_ACPS_CURITIBA;0.010563;0.010251;0.015674;0.021908;0.014785;0.048004
PROCESSING_ACPS_FEIRA DE SANTANA;0.010563;0.010826;0.006270;0.021828;0.022334;0.019976
PROCESSING_ACPS_FLORIANOPOLIS;0.010563;0.010251;0.015674;0.021645;0.022139;0.019836
PROCESSING_ACPS_FORTALEZA;0.020043;0.020119;0.018809;0.021940;0.022992;0.018087
PROCESSING_ACPS_GOIANIA;0.010563;0.010538;0.010972;0.021492;0.022360;0.018312
PROCESSING_ACPS_ILHEUS - ITABUNA;0.010563;0.010538;0.010972;0.021628;0.022385;0.018856
PROCESSING_ACPS_IPATINGA;0.010563;0.010251;0.015674;0.021850;0.022421;0.019758
PROCESSING_ACPS_JOAO PESSOA;0.010563;0.010826;0.006270;0.021758;0.022124;0.020419
PROCESSING_ACPS_JOINVILLE;0.002979;0.002970;0.003135;0.021902;0.022226;0.020714
PROCESSING_ACPS_JUIZ DE FORA;0.010563;0.010826;0.006270;0.021695;0.022099;0.020217
PROCESSING_ACPS_JUNDIAI;0.010563;0.010826;0.006270;0.021367;0.022258;0.018102
PROCESSING_ACPS_LONDRINA;0.010563;0.010826;0.006270;0.021910;0.022695;0.019035
PROCESSING_ACPS_MACAPA;0.010563;0.010538;0.010972;0.021573;0.022306;0.018887
PROCESSING_ACPS_MACEIO;0.010563;0.010443;0.012539;0.022040;0.022423;0.020636
PROCESSING_ACPS_MANAUS;0.010563;0.010922;0.004702;0.021880;0.022440;0.019828
PROCESSING_ACPS_MARINGA;0.010563;0.010443;0.012539;0.021995;0.022362;0.020652
PROCESSING_ACPS_NATAL;0.010563;0.010634;0.009404;0.021728;0.022313;0.019587
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.010563;0.010443;0.012539;0.021740;0.022504;0.018942
PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.010563;0.010826;0.006270;0.021432;0.022043;0.019191
PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.010563;0.010730;0.007837;0.021388;0.021835;0.019750
PROCESSING_ACPS_PORTO ALEGRE;0.020043;0.020119;0.018809;0.021740;0.024931;0.010050
PROCESSING_ACPS_RECIFE;0.010563;0.010826;0.006270;0.021733;0.022393;0.019315
PROCESSING_ACPS_RIBEIRAO PRETO;0.010563;0.010347;0.014107;0.021913;0.022544;0.019603
PROCESSING_ACPS_RIO DE JANEIRO;0.018147;0.018107;0.018809;0.021768;0.019992;0.028277
PROCESSING_ACPS_SALVADOR;0.010563;0.010347;0.014107;0.021743;0.022690;0.018273
PROCESSING_ACPS_SANTOS;0.010563;0.010538;0.010972;0.021790;0.022909;0.017690
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.010563;0.010059;0.018809;0.021467;0.022247;0.018608
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.010563;0.010538;0.010972;0.021917;0.022542;0.019626
PROCESSING_ACPS_SAO LUIS;0.010563;0.010347;0.014107;0.021915;0.022937;0.018172
PROCESSING_ACPS_SAO PAULO;0.010563;0.010634;0.009404;0.021965;0.019374;0.031456
PROCESSING_ACPS_SOROCABA;0.010563;0.010826;0.006270;0.021535;0.022012;0.019789
PROCESSING_ACPS_TERESINA;0.010563;0.010634;0.009404;0.021660;0.022470;0.018693
PROCESSING_ACPS_UBERLANDIA;0.010563;0.010347;0.014107;0.021665;0.022012;0.020395
PROCESSING_ACPS_VITORIA;0.010563;0.010155;0.017241;0.021955;0.022752;0.019035
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.010563;0.010730;0.007837;0.021783;0.022463;0.019292
STARTING_DAY_2000-01-01;0.007584;0.007281;0.012539;0.500443;0.501580;0.496281
STARTING_DAY_2010-01-01;0.992416;0.992719;0.987461;0.499557;0.498420;0.503719
T_LICENSES_PER_REGION_False;0.001896;0.001916;0.001567;0.333180;0.333006;0.333818
T_LICENSES_PER_REGION_True;0.001896;0.001820;0.003135;0.333153;0.333392;0.332279
T_LICENSES_PER_REGION_random;0.996208;0.996264;0.995298;0.333667;0.333602;0.333903
WAGE_IGNORE_UNEMPLOYMENT_True;0.001896;0.001916;0.001567;1.000000;1.000000;1.000000
