;tot_current;current_0;current_1;tot_Tree;Tree_0;Tree_1
HIRING_SAMPLE_SIZE;19.948808;19.944587;20.017868;19.947384;19.939934;19.974678
LABOR_MARKET;0.746682;0.746599;0.748041;0.742024;0.741919;0.742407
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.598673;0.598758;0.597283;0.598736;0.598616;0.599175
MARKUP;0.150000;0.149952;0.150784;0.150030;0.150035;0.150010
MAX_LOAN_TO_VALUE;0.598673;0.598742;0.597544;0.598946;0.598841;0.599330
MUNICIPAL_EFFICIENCY_MANAGEMENT;0.000100;0.000100;0.000100;0.000100;0.000100;0.000100
NEIGHBORHOOD_EFFECT;2.994312;2.994348;2.993730;2.993142;2.994828;2.986964
OFFER_SIZE_ON_PRICE;2.000000;2.000000;2.000000;1.999885;2.000123;1.999015
PCT_DISTANCE_HIRING;0.302654;0.302791;0.300418;0.306587;0.307131;0.304591
PERCENTAGE_ACTUAL_POP;0.009965;0.009967;0.009922;0.010126;0.011285;0.005883
PERCENTAGE_ENTERING_ESTATE_MARKET;0.004779;0.004772;0.004880;0.004983;0.005001;0.004917
PERCENT_CONSTRUCTION_FIRMS;0.030171;0.030178;0.030047;0.030159;0.030166;0.030135
POLICY_COEFFICIENT;0.214653;0.214907;0.210502;0.208782;0.208921;0.208272
POLICY_DAYS;323.808234;323.475762;329.247649;354.052112;357.237984;342.380469
POLICY_QUANTILE;0.179135;0.178923;0.182602;0.199499;0.200394;0.196221
PRIVATE_TRANSIT_COST;0.250000;0.250000;0.250000;0.249931;0.249942;0.249889
PRODUCTIVITY_EXPONENT;0.598009;0.597916;0.599530;0.597885;0.597848;0.598019
PRODUCTIVITY_MAGNITUDE_DIVISOR;12.086268;12.087740;12.062173;11.793803;11.803426;11.758548
PUBLIC_TRANSIT_COST;0.052654;0.052722;0.051541;0.097213;0.097892;0.094729
SIZE_MARKET;10.004740;10.005605;9.990596;9.994322;9.993916;9.995808
STICKY_PRICES;0.500000;0.499923;0.501254;0.500242;0.500226;0.500303
TAX_ESTATE_TRANSACTION;0.004987;0.004988;0.004969;0.004985;0.004984;0.004989
TOTAL_DAYS;3735.112676;3733.543303;3760.788401;4441.774247;4465.854077;4353.556275
ALTERNATIVE0_False;0.003792;0.003641;0.006270;0.499460;0.499836;0.498084
ALTERNATIVE0_True;0.996208;0.996359;0.993730;0.500540;0.500164;0.501916
FPM_DISTRIBUTION_False;0.003792;0.003641;0.006270;0.499060;0.499369;0.497929
FPM_DISTRIBUTION_True;0.996208;0.996359;0.993730;0.500940;0.500631;0.502071
INTEREST_fixed;0.001896;0.001916;0.001567;0.334065;0.334211;0.333530
INTEREST_nominal;0.001896;0.001916;0.001567;0.332817;0.333341;0.330895
INTEREST_real;0.996208;0.996168;0.996865;0.333118;0.332448;0.335574
POLICIES_buy;0.121885;0.122437;0.112853;0.250602;0.307593;0.041809
POLICIES_no_policy;0.634345;0.632592;0.663009;0.249888;0.260827;0.209814
POLICIES_rent;0.121885;0.123012;0.103448;0.248905;0.217984;0.362188
POLICIES_wage;0.121885;0.121958;0.120690;0.250605;0.213596;0.386190
PROCESSING_ACPS_ARACAJU;0.010563;0.010922;0.004702;0.021645;0.022304;0.019229
